Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.11434,0.002109,-0.080896,0,0,0,2.6044,0.0048774,-4.1979E-07,9.09E-06,0.0056126,-3.2255E-07,0.0098576,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body(fixed)-1,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.045553,-0.06062,0.0031624,0,0,0,0.060681,1.7187E-05,-1.6485E-08,-1.5645E-07,1.5791E-05,2.9641E-09,1.3493E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,Axis_LFS,LFS,prismatic,-0.042044,0.084395,-0.10849,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
LFW,0.015,4.1633E-17,-1.3531E-16,0,0,0,0.28979,0.00043983,-2.5579E-19,-2.8502E-19,0.00024165,-6.7763E-21,0.00024165,0,0,0,0,0,0,package://lide/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-1,Origin_LFW,Axis_LFW,LFW,continuous,0.063346,-0.069801,0.015044,0.62095,0,0,LFS,1,0,0,,,,,,,,,,,,
RFS,-0.019176,-0.060658,0.052192,0,0,0,0.060681,1.7187E-05,-1.6485E-08,1.5645E-07,1.5791E-05,-2.9641E-09,1.3493E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,Axis_RFS,RFS,prismatic,-0.091073,-0.11079,-0.10849,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
RFW,-0.015,0,0,0,0,0,0.28979,0.00043983,-4.6524E-37,1.7402E-39,0.00024165,3.024E-39,0.00024165,0,0,0,0,0,0,package://lide/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-3,Origin_RFW,Axis_RFW,RFW,continuous,-0.036969,-0.069799,0.064073,0,0,0,RFS,1,0,0,,,,,,,,,,,,
LBS,0.045553,-0.06062,0.0031624,0,0,0,0.060681,1.7187E-05,-1.6485E-08,-1.5645E-07,1.5791E-05,2.9641E-09,1.3493E-05,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,Sus_L-2,Origin_LBS,Axis_LBS,LBS,prismatic,-0.19204,0.084395,-0.10849,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
LBW,0.015,-2.2204E-16,4.0246E-16,0,0,0,0.28979,0.00043983,2.0223E-19,2.4641E-19,0.00024165,6.7763E-21,0.00024165,0,0,0,0,0,0,package://lide/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/LBW.STL,,wheel-2,Origin_LBW,Axis_LBW,LBW,continuous,0.063346,-0.069801,0.015044,0.80353,0,0,LBS,1,0,0,,,,,,,,,,,,
RBS,-0.019176,-0.060658,0.052192,0,0,0,0.060681,1.7187E-05,-1.6485E-08,1.5645E-07,1.5791E-05,-2.9641E-09,1.3493E-05,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,Sus_R-2,Origin_RBS,Axis_RBS,RBS,prismatic,-0.24107,-0.11079,-0.10849,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
RBW,-0.015,0,2.7756E-17,0,0,0,0.28979,0.00043983,-1.8852E-37,3.2691E-37,0.00024165,-1.9835E-37,0.00024165,0,0,0,0,0,0,package://lide/meshes/RBW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/RBW.STL,,wheel-4,Origin_RBW,Axis_RBW,RBW,continuous,-0.036969,-0.069799,0.064073,0,0,0,RBS,1,0,0,,,,,,,,,,,,
fcam,0.00044553,-1.1063E-05,0.0012982,0,0,0,0.043612,2.3571E-05,-1.0181E-09,2.1758E-08,4.2948E-06,-8.8579E-10,2.2106E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-2,fcam,,fcam,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
